producto_id,nombre,categoria,precio,coste,stock,fecha_alta,proveedor,margen,porcentaje_margen
2001,Smartphone A,Electrónica,399.99,250.0,15,2022-11-10,TechCorp,149.99,0.37498437460936523
2002,Sartén 28cm,Hogar,29.9,12.0,50,2023-01-15,HomePlus,17.9,0.5986622073578595
2003,Taza Cerámica,Hogar,19.99,5.0,120,2023-01-20,HomePlus,14.989999999999998,0.7498749374687343
2004,Zapatilla Running,Deporte,59.5,30.0,22,2023-02-01,Sportify,29.5,0.4957983193277311
2005,Auriculares X,Electrónica,129.0,60.0,0,2023-02-15,TechCorp,69.0,0.5348837209302325
2006,Vaso Cristal,Hogar,15.99,4.0,200,2023-03-01,GlassCo,11.99,0.7498436522826767
2007,Casquillo Pesas 5kg,Deporte,49.99,22.0,80,2023-03-10,Sportify,27.990000000000002,0.5599119823964793
2008,"Tablet 10""",Electrónica,249.0,150.0,0,2023-03-25,TechCorp,99.0,0.39759036144578314
2009,Velas Aromáticas,Hogar,9.99,3.0,300,2023-04-01,HomePlus,6.99,0.6996996996996997
2010,Mochila Trekking,Deporte,89.0,40.0,40,2023-04-10,Sportify,49.0,0.550561797752809
2011,Cuenco Cerámica,Hogar,19.5,6.0,110,2023-04-15,HomePlus,13.5,0.6923076923076923
2012,Portátil Z,Electrónica,999.0,700.0,8,2023-05-01,TechCorp,299.0,0.2992992992992993
2013,Guantes Fitness,Deporte,39.9,15.0,0,2023-05-18,Sportify,24.9,0.6240601503759399
2014,Toalla Microfibra,Hogar,5.99,2.0,400,2023-06-01,HomePlus,3.99,0.666110183639399
2015,"Monitor 27""",Electrónica,299.0,180.0,12,2023-06-20,TechCorp,119.0,0.3979933110367893
2016,Rodillera Pro,Deporte,75.0,32.0,35,2023-07-01,Sportify,43.0,0.5733333333333334
2017,Portavelas Metal,Hogar,12.5,4.5,230,2023-07-12,HomePlus,8.0,0.64
2018,Teclado Mecánico,Electrónica,549.0,320.0,0,2023-07-25,KeyMaster,229.0,0.41712204007285975
2019,Plato Cerámica,Hogar,22.0,7.0,180,2023-08-01,HomePlus,15.0,0.6818181818181818
2020,Bicicleta Indoor,Deporte,120.0,70.0,5,2023-08-15,Sportify,50.0,0.4166666666666667
2021,Cámara Compacta,Electrónica,179.5,100.0,10,2023-09-01,TechCorp,79.5,0.4428969359331476
2022,Cuenco Pequeño,Hogar,7.99,2.5,150,2023-09-10,HomePlus,5.49,0.6871088861076345
2023,Saco Boxeo,Deporte,210.0,95.0,7,2023-09-20,Sportify,115.0,0.5476190476190477
2024,Jarrón Decorativo,Hogar,33.0,10.0,90,2023-10-01,HomePlus,23.0,0.696969696969697
2025,PC Gaming,Electrónica,899.0,600.0,0,2023-10-12,TechCorp,299.0,0.3325917686318131
2026,Paletero Pádel,Deporte,140.0,55.0,18,2023-10-25,Sportify,85.0,0.6071428571428571
